#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
68,"BESO","ROSALÍA,Rauw Alejandro",86,95,"pop, r&b en espanol, puerto rican pop, reggaeton, trap latino, urbano latino","Pop, R&B, Latin","RR",2023-03-24,03:14,77,64,74,0,53,10,10,-7,F Minor,4,2023-03-28,609E1JCInJncactoMmkDon,"Columbia Records/Duars Entertainment/Sony Music Latin",4A,https://p.scdn.co/mp3-preview/ec3accbe111dac19702411be5adb665d4cd44c0c?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048514d6cf0d0d5e32ca4fa3a59e1
69,"Sprinter","Dave,Central Cee",90,141,"uk hip hop, melodic drill, r&drill","Hip Hop","Sprinter",2023-06-01,03:49,92,58,19,0,66,20,0,-8,C♯/D♭ Major,4,2023-11-30,2FDTHlrBguDzQkp7PVj16Q,"Neighbourhood / Live Yours",3B,,https://i.scdn.co/image/ab67616d00004851e3a09a9ae3f1fa102c110e60
70,"All My Life (feat. J. Cole)","Lil Durk,J. Cole",77,143,"chicago drill, chicago rap, drill, hip hop, rap, trap, conscious hip hop, north carolina hip hop","Hip Hop","Almost Healed",2023-05-26,03:43,79,57,4,0,73,20,10,-6,D#/E♭ Major,4,2023-05-27,6T7FXSuXykeGktMLGp8WgE,"Alamo",5B,https://p.scdn.co/mp3-preview/736c0ff37c1b6b7ca182ea6e78db36163e5e6eae?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048516234c2c6d4bb935839ac4719
71,"fukumean","Gunna",93,130,"atl hip hop, melodic rap, rap, trap","Hip Hop","a Gift & a Curse",2023-06-16,02:05,85,62,12,0,22,0,20,-7,C♯/D♭ Minor,4,2023-07-20,4rXLjWdF2ZZpXCVTfWcshS,"300 Entertainment",12A,https://p.scdn.co/mp3-preview/f237ab921af697ba9b49e12fa167c2ce1a82d6b4?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851017d5e26552345c4b1575b6c
72,"In Ha Mood","Ice Spice",77,141,"bronx drill","","In Ha Mood",2023-01-06,02:09,77,74,70,0,53,30,20,-7,C Major,4,2023-03-17,0yUaLqhsVsguBpoOPL4cO7,"10K Projects/Capitol Records",8B,,https://i.scdn.co/image/ab67616d00004851cf9b9ac12129c2d73a788caf
73,"Double Fantasy (with Future)","The Weeknd,Future",79,119,"canadian contemporary r&b, canadian pop, pop, atl hip hop, hip hop, rap, southern hip hop, trap","Hip Hop, R&B, Pop","Double Fantasy",2023-04-21,04:28,60,57,1,0,10,0,50,-7,A Minor,4,2023-04-21,4VMRsbfZzd3SfQtaJ1Wpwi,"Republic Records",8A,,https://i.scdn.co/image/ab67616d00004851c7d6fe09dfe4af1580e59705
74,"Search & Rescue","Drake",83,142,"canadian hip hop, canadian pop, hip hop, pop rap, rap","Hip Hop, Pop","Search & Rescue",2023-04-07,04:32,82,44,6,0,54,0,30,-8,A#/B♭ Minor,4,2023-04-07,7aRCf5cLOFN1U7kvtChY1G,"OVO/Republic Records",3A,,https://i.scdn.co/image/ab67616d00004851cace8a4b2ff924c9e12e3a96
75,"LET GO","Central Cee",82,146,"melodic drill, r&drill","Hip Hop","LET GO",2022-12-15,02:54,74,45,86,0,51,30,20,-10,D Minor,4,2023-01-07,3zkyus0njMCL6phZmNNEeN,"Central Cee",7A,https://p.scdn.co/mp3-preview/5391f8e7621898d3f5237e297e3fbcabe1fe3494?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851cbb3701743a568e7f1c4e967
76,"Lavender Haze","Taylor Swift",84,97,"pop","Pop","Midnights",2022-10-21,03:22,73,44,26,0,10,0,10,-10,A#/B♭ Major,4,2023-01-28,5jQI2r1RdgtuT8S3iG8zFC,"Taylor Swift",6B,,https://i.scdn.co/image/ab67616d00004851bb54dde68cd23e2a268ae0f5
77,"Tattoo","Loreen",88,150,"europop","Pop","Tattoo",2023-02-25,03:03,55,78,24,0,30,0,10,-6,D#/E♭ Minor,4,2023-05-19,1DmW5Ep6ywYwxc2HMT5BG6,"Universal Music AB",2A,,https://i.scdn.co/image/ab67616d000048512b0ba87db609976eee193bd6
78,"Never Felt So Alone","Labrinth",76,98,"indie poptimism, pop","Pop","Never Felt So Alone",2023-04-07,02:40,44,41,50,0,36,0,30,-4,F Major,3,2023-04-21,2NbsBSshscKIPRG3kwBbfo,"Columbia",7B,https://p.scdn.co/mp3-preview/d33db796d822aa77728af0f4abb06ccd596d2920?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048517dda6cb97a57f116f6fbf0be
79,"Heaven","Niall Horan",18,92,"pop","Pop","Heaven",2023-02-17,03:06,57,76,7,0,68,0,30,-3,F Major,4,2023-02-25,1yHVHoz6Ny29gbbWJYVnFt,"Capitol Records",7B,,https://i.scdn.co/image/ab67616d00004851723c6c01155c023a9a9f8cf0
80,"Acróstico","Shakira",80,144,"colombian pop, dance pop, latin pop, pop","Pop","Acróstico",2023-05-11,02:50,75,48,84,0,35,10,10,-9,B Major,4,2023-05-19,7txjUEY6McJDJKqIo1Rxjp,"Sony Music Latin",1B,https://p.scdn.co/mp3-preview/6d239b92d75881bcfc51be9f31c66537db1f2fb8?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851bd6bbd68940f38c764524b63
81,"Yandel 150","Yandel,Feid",84,168,"latin hip hop, reggaeton, trap latino, urbano latino, colombian pop, pop reggaeton, reggaeton colombiano","Pop, Hip Hop, Latin","Resistencia",2023-01-13,03:36,78,73,5,0,58,0,10,-4,F#/G♭ Minor,4,2023-02-23,4FAKtPVycI4DxoOHC01YqD,"La Leyenda LLC",11A,https://p.scdn.co/mp3-preview/338ed053ce26ccc3313b00b5e6153e60ffd2eb19?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851b2aec01b56eeb74610532700
82,"La Jumpa","Arcángel,Bad Bunny",80,140,"latin hip hop, reggaeton, trap latino, urbano latino","Hip Hop, Latin","Sr. Santos",2022-12-01,04:15,89,23,11,67,20,10,10,-15,A Major,4,2023-01-07,2mnXxnrX5vCGolNkaFvVeM,"Rimas Entertainment LLC.",11B,https://p.scdn.co/mp3-preview/8bcdff4719a7a4211128ec93da03892e46c4bc6a?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485130326b23e30ae93d4d48165b
83,"Columbia","Quevedo",93,100,"rap canario, trap latino, urbano latino","Latin","Columbia",2023-07-07,03:06,67,71,37,0,26,0,10,-6,F Major,4,2023-07-20,6XbtvPmIpyCbjuT0e8cQtp,"Quevedo",7B,https://p.scdn.co/mp3-preview/e3d6df66fe67f618166a2cab858580ac8a96486a?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851a00a817b017c6f6bf8460be9
